term,entropy
##와 ##의,7.578974624427682
##와 ##는,7.400470597016048
##이 ##자,6.935379517767557
##이 ##라는,6.924268779922217
##에서 ##의,6.857848841758668
##하 ##고,6.805694279249581
##이 ##며,6.748122473402611
##만 ##을,6.687932935110919
##보다 ##는,6.684661396106697
##들 ##을,6.681373470169492
##하 ##는,6.680994741979571
##에서 ##는,6.675089917519511
##하 ##여,6.674611497152369
##하 ##거나,6.671039992924584
##이 ##기,6.651066461241131
##이 ##었 ##던,6.622526515902672
##에서 ##도,6.6166778796567325
##하 ##면서,6.600931648127071
##하 ##기,6.596867818280004
##과 ##의,6.593480025476041
##에 ##만,6.543063102860547
##들 ##이,6.542386834299748
##임 ##에 ##도,6.5057702971610745
##이 ##기 ##도,6.4881099798891135
##들 ##에,6.479950712565178
##답 ##게,6.478690598723199
##했 ##다고,6.469782511997774
##했 ##다는,6.454509134081455
##같 ##은,6.4461926710443045
##초등 ##학교,6.444289368477734
##와 ##도,6.433206977257026
##들 ##과,6.424783362080163
##하 ##게,6.405036978933993
##하 ##며,6.3845718275524845
##이 ##라,6.364467451804797
##에서 ##만,6.3395326316569225
##였 ##던,6.306683169317641
##했 ##던,6.289320445117414
##이 ##지만,6.277241990588663
##하 ##지,6.265151999421886
##들 ##로,6.262173494419509
##이 ##라고,6.258497743953773
##들 ##은,6.253009186851683
##로서 ##의,6.22704523731608
##하 ##다,6.225641133660668
##하 ##던,6.214481117805249
##뿐 ##만,6.212146380680863
##임 ##을,6.207317507933869
##하 ##기 ##로,6.196577090993401
##과 ##는,6.188861280658772
##했 ##고,6.1849369240534475
##하 ##기 ##도,6.161715181290932
##이 ##란,6.159475398945316
##이 ##므로,6.153472006565623
##이 ##긴,6.104359828760278
##이 ##다,6.099537836566607
##하 ##려고,6.089551761935397
##용 ##으로,6.088430104526933
##함 ##과,6.065138398398268
##하 ##려는,6.061706760055463
##하 ##다가,6.043046983960594
##되 ##어,6.0394056944495444
##호 ##로,6.027949648701412
##했 ##을,6.022698458290512
##들 ##도,6.015927278337631
##했 ##기,6.012664046765467
##했 ##지만,6.006563915302111
##들 ##의,5.999082555647718
##들 ##과 ##는,5.99550783458718
##만 ##이,5.97923235888924
##만큼 ##은,5.974957284937925
##인데 ##도,5.972599510466082
##하 ##는 ##데,5.944350769027151
##하 ##려,5.939343877009123
##으로 ##만,5.934572526058918
##이 ##니,5.920800931240366
##하 ##였 ##고,5.904057620213867
##이 ##든,5.892937465922784
##이 ##라도,5.884208360711004
##되 ##고,5.859820522134969
##이 ##라서,5.856980399558924
##하 ##지만,5.853766044504167
##했 ##는데,5.839747490960436
##로 ##만,5.832816155272006
##하 ##겠 ##다고,5.829538213181404
##들 ##처럼,5.824466931033903
##에 ##는,5.819170140935194
##등 ##의,5.817892959859547
##급 ##의,5.815286827985647
##이 ##기에,5.81308433591452
##조차 ##도,5.809719153929919
##하 ##겠 ##다는,5.793659413391389
##만 ##으로,5.7877555882089915
##했 ##다가,5.785735219155969
##하 ##지 ##는,5.777498999622084
##하 ##면서 ##도,5.772469943898159
##하 ##도록,5.767429884614753
##쪽 ##으로,5.753193521568791
##보다 ##도,5.752285366420035
##하 ##는 ##게,5.744333422853267
##들 ##만,5.739930597491362
##하 ##자,5.7177171519496035
##에게 ##는,5.711006674275798
##함 ##으로써,5.710063560630047
##하 ##기 ##에,5.708816943250071
##인 ##데 ##다가,5.706974850594039
##하 ##라고,5.70657799958777
##이 ##면서,5.699411083241565
##들 ##에게,5.694646372520399
##되 ##기,5.685444235903055
##들 ##이나,5.68378952775685
##되 ##는,5.681301991219757
##함 ##에,5.677778439440998
##이 ##었 ##다는,5.674810051553791
##시키 ##고,5.6723331819441345
##으로서 ##의,5.669880269350078
##과 ##도,5.665082740842832
##했 ##다,5.660249382296633
##이 ##었 ##지만,5.6508659457758315
##계 ##의,5.6437313249455245
##로 ##의,5.629607564821552
##하 ##라는,5.62220160725553
##하 ##고자,5.616644762659884
##이 ##다 ##보 ##니,5.615869895553863
##되 ##지,5.615424813038132
##이 ##라면,5.604935530450798
##중 ##에,5.599644531991217
##들 ##인,5.590558340993835
##만 ##은,5.583896008353741
##에게 ##도,5.579659936654337
##인 ##만큼,5.575728489058466
##에 ##도,5.5753609248153895
##이 ##었 ##다고,5.568902342768013
##할 ##때,5.568824805597558
##되 ##었 ##다는,5.567920337538899
##하 ##긴,5.566448698378496
##적 ##인,5.561609400951599
##되 ##었 ##다고,5.561512296408773
##함 ##을,5.552613985667656
##시키 ##는,5.535522716531474
##되 ##었 ##고,5.535340287800231
##이 ##고,5.5346376337544445
##하 ##기 ##는,5.530179419580021
##하 ##는데,5.521889550465343
##되 ##며,5.519424520243494
##하 ##였으며,5.50827429164906
##이 ##기 ##에,5.507518998435543
##했 ##기 ##에,5.502027377576362
##했 ##음 ##에 ##도,5.49340910586874
##되 ##면서,5.488270860334646
##하 ##자는,5.488058508481893
##하 ##였 ##다고,5.4879638017254635
##이 ##었 ##고,5.478001659763335
##들 ##보다,5.474539872203604
##등 ##이,5.466816614972072
##되 ##거나,5.45643146503408
##적 ##이 ##고,5.448146096675158
##할 ##수,5.447245430567898
##했 ##다면,5.442539420995779
##하 ##면,5.441768729075275
##이 ##었 ##으며,5.437760868753144
##되 ##어서,5.431792118375335
##하 ##지 ##도,5.428346245164861
##기 ##를,5.4262515830822
##하 ##니,5.426174073509176
##에서 ##나,5.423482652190733
##화 ##를,5.4209176974283695
##이 ##였 ##던,5.41754811926998
##이 ##었 ##기,5.414815893957441
##로 ##도,5.4118002021187
##이 ##야,5.410525981153333
##답 ##지,5.401593446588812
##하 ##기 ##까지,5.390024870209383
##화 ##가,5.386229480211119
##에 ##까지,5.377841880865926
##들 ##까지,5.376062998073019
##이 ##면,5.3660165206387225
##하 ##러,5.365998269792971
##함 ##으로,5.362566003808176
##이 ##었 ##으나,5.358123208813344
##하 ##진,5.356706900812333
##이 ##었 ##는데,5.354231688525071
##이 ##가,5.3515143362151925
##이 ##었 ##을,5.347368101427019
##성 ##의,5.345243123347916
##별 ##로,5.324247314258066
##시키 ##기,5.322904947222997
##이 ##라고 ##도,5.312468234034433
##되 ##었 ##을,5.310226366127568
##되 ##었 ##지만,5.293821009911091
##점 ##으로,5.290509201858917
##이 ##의,5.289133905288369
##들 ##과 ##의,5.2884942003362925
##하 ##려면,5.285335505223681
##함 ##으로서,5.268856276806628
##이 ##거나,5.26588902779928
##로 ##는,5.259641412842687
##한 ##게,5.254247255794384
##되 ##기 ##도,5.2513586852158385
##되 ##었 ##기,5.249817274660656
##만큼 ##이나,5.237550295758536
##형 ##의,5.235900451509394
##해 ##주 ##는,5.23520968631144
##당하 ##는,5.230841375382722
##표 ##를,5.2280428083920505
##으로서 ##는,5.2275677657282955
##하 ##기 ##만,5.219980648766315
##이 ##던,5.219546940060554
##에게 ##만,5.20902031200925
##하 ##므로,5.2032716117975255
##기 ##만,5.202142924274527
##이 ##라고 ##는,5.199748253935609
##되 ##었 ##으나,5.197635566416498
##했 ##다며,5.189879821554974
##하 ##고 ##도,5.187850962678244
##하 ##자고,5.183886647265884
##화 ##에서 ##는,5.182384365306446
##인 ##듯,5.178077573761623
##당하 ##고,5.176785950163648
##에서 ##조차,5.175098131226218
##되 ##었 ##던,5.171861987356368
##이 ##어서,5.171796052954482
##함 ##이,5.169992257053095
##해야 ##만,5.168287840481922
##이 ##기 ##는,5.163665901517261
##번 ##과,5.15729761573874
##화 ##에,5.157094075300089
##하 ##였 ##지만,5.150211297189706
##급 ##으로,5.137743999947201
##인 ##줄,5.1375491778134545
##하 ##기 ##가,5.133816132851515
##하 ##는 ##건,5.132664150437836
##기 ##와,5.131366187288773
##되 ##자,5.12648864049368
##이 ##니 ##만큼,5.121220770595682
##하 ##다 ##보 ##니,5.120769881817266
##화 ##에서,5.1192632120824335
##해 ##버린,5.1178719683593155
##되 ##었 ##으며,5.112996427440451
##해 ##버리 ##는,5.110820760728355
##되 ##어야,5.1069666041812525
##이 ##었 ##기 ##에,5.105072084123175
##하 ##여야,5.1049818272015255
##중 ##인,5.092536905841692
##하 ##려던,5.090275168946778
##형 ##으로,5.089660421968608
##만큼 ##의,5.0857996646073005
##쪽 ##에,5.085121420896963
##로써 ##의,5.081723938147453
##하 ##였 ##는데,5.081369276170045
##임 ##이,5.076218380969274
##해 ##온,5.072404158747031
##하 ##나,5.063791445371124
##했 ##는지,5.063366989275796
##화 ##는,5.056333924476904
##이 ##를,5.05323383486282
##년 ##에,5.052251446939395
##팀 ##이,5.045072601505254
##화 ##의,5.04189744810293
##하 ##기 ##에 ##는,5.041799003523773
##하 ##느라,5.04168632283283
##되 ##면,5.038716064287647
##들 ##중,5.037407542094344
##성 ##과,5.031764167470763
##하 ##였으나,5.031279352651449
##만 ##으로 ##는,5.0274688696906935
##화 ##와,5.024013347548936
##등 ##을,5.023857811472041
##로서 ##는,5.022579768910254
##해 ##줄,5.0180980694651955
##이 ##었 ##다면,5.01447019986002
##기 ##가,5.014142673990492
##들 ##에서,5.008004089979581
##까지 ##는,4.999608615124417
##번 ##이,4.991052328047527
##인 ##걸,4.990021872703749
##부터 ##가,4.989768415755971
##시키 ##면,4.988121351859897
##하 ##더라도,4.987520018067369
##군 ##을,4.985138784673167
##군 ##의,4.979405669401514
##되 ##었 ##다가,4.976603690386379
##적 ##으로,4.976302547545778
##쪽 ##에서,4.975067153353942
##화 ##로,4.971393613481357
##성 ##에,4.970971385561745
##등 ##으로,4.968919956302583
##해 ##달 ##라고,4.9575661361592225
##했 ##음 ##을,4.957324674910202
##이 ##는,4.953813362636854
##성 ##으로,4.953149812837101
##였 ##다는,4.9470280292811255
##이 ##와,4.945332001571172
##하 ##였 ##던,4.945268440938527
##치 ##고 ##는,4.944012025239221
##들 ##에게 ##도,4.94297257834068
##되 ##지만,4.938778334940928
##이 ##니까,4.938182660115277
##하 ##는 ##것 ##이,4.93799847187066
##에게 ##로,4.936780679473948
##하 ##는 ##걸,4.928928913381564
##였 ##기,4.92807085667678
##이 ##건,4.925249934150677
##들 ##로부터,4.922602611888616
##형 ##이,4.9214382415333
##제 ##를,4.915131936837465
##한 ##데 ##다,4.914485011097507
##시 ##의,4.911977121074612
##인데 ##다,4.907781499718554
##쪽 ##이,4.898055620561124
##하 ##기 ##를,4.895253263612217
##시키 ##려,4.892831290557313
##시 ##에 ##는,4.886589155728046
##해 ##지 ##는,4.8812058688606434
##성 ##을,4.877504164217656
##안 ##에,4.875642508655738
##들 ##한테,4.875056002221568
##이 ##라며,4.874642145653293
##까지 ##만,4.866083306383029
##시키 ##거나,4.8634575805847104
##하 ##였 ##다는,4.863126265262226
##화 ##된,4.85208912731952
##기 ##의,4.851524607702131
##해 ##주 ##면,4.848810659571572
##한 ##뒤,4.844221900862006
##측 ##의,4.843038029274916
##부터 ##는,4.8336221886369
##스 ##의,4.828954023016291
##이 ##었 ##다가,4.828893870380378
##함 ##은,4.828840158094951
##권 ##과,4.827957256606688
##점 ##이,4.827818279200203
##인지 ##는,4.827259806033851
##하 ##다는,4.821468687858768
##권 ##을,4.820876779846461
##받 ##아,4.815104030006192
##측 ##에서,4.8148424450616
##되 ##었 ##는데,4.813505924966377
##되 ##지 ##는,4.812724265342602
##하 ##듯이,4.812670861690594
##적 ##이 ##며,4.812611907857022
##되 ##던,4.808991440909414
##하 ##려다,4.808613065578012
##일 ##을,4.802774514405134
##해 ##준,4.802092664834914
##되 ##므로,4.802016696596198
##되 ##는 ##데,4.801262711782358
##기 ##나,4.80028014640829
##되 ##긴,4.799996287931703
##덱 ##이,4.7980260845069225
##뿐 ##만 ##이,4.797432279430182
##덕 ##에,4.794672906349172
##팀 ##과,4.794666937763969
##일 ##이,4.790854096172588
##들 ##과 ##도,4.790312809154104
##만 ##도,4.788898107953977
##들 ##에게 ##는,4.783919088747115
##년 ##의,4.781952839693094
##들 ##이 ##라,4.781710568784291
##해 ##달 ##라는,4.77636232252619
##권 ##의,4.773809370082626
##시키 ##지,4.7725897208842705
##화 ##에선,4.772429285666944
##기 ##는,4.772110626105426
##였 ##지만,4.770389063043861
##자체 ##가,4.767461016055035
##했었 ##던,4.76618818764282
##류 ##의,4.764642050465999
##으로 ##는,4.758949911199829
##권 ##은,4.75787537679965
##상 ##의,4.755349776722452
##까지 ##도,4.753886165082458
##하 ##다고,4.750606148475243
##해 ##가 ##며,4.7469097152693225
##지 ##는,4.746032047854466
##면 ##에서,4.744823168516819
##되 ##었 ##다,4.743937529105746
##하고 ##는,4.7423975076847675
##군 ##이,4.7417576412940985
##자 ##로,4.74095144932311
##이 ##라면서,4.740175697105245
##받 ##은,4.737062808914331
##판 ##을,4.73679909930396
##해 ##주 ##고,4.734101934268905
##쪽 ##은,4.733135134398386
##지역 ##의,4.728465997872656
##적 ##이 ##라는,4.728235978277016
##년 ##까지,4.724443583679504
##됐 ##다는,4.723858327923605
##해 ##지 ##고,4.722350188707241
##모드 ##로,4.72019056115205
##측 ##은,4.718303460977103
##역 ##에서,4.717939761970861
##팀 ##을,4.716371287789387
##간 ##의,4.715997409093378
##까지 ##의,4.7113221050932665
##이 ##여서,4.70962944558636
##번 ##으로,4.707447730911039
##계 ##에,4.707068450516367
##인 ##데 ##다,4.705154404231856
##하 ##였을,4.704788015550101
##수 ##가,4.700847470044913
##권 ##이,4.691829803676768
##하 ##였 ##기,4.690171741227112
##상 ##으로,4.688447906039953
##덕분 ##에,4.685140858375629
##지 ##도,4.684382982119087
##받 ##을,4.683841136695016
##됐 ##고,4.68296468648168
##되 ##어 ##있 ##는,4.680079488369122
##기 ##로,4.679893400314687
##군 ##과,4.67838963347869
##으로써 ##의,4.675375800784079
##상 ##을,4.674608648813683
##급 ##은,4.672190004382775
##됐 ##다고,4.67148937254996
##에 ##나,4.669614921053315
##해야 ##하 ##는,4.666117120714481
##지 ##를,4.664121940623465
##지역 ##에,4.663989537293117
##이 ##었 ##음 ##을,4.662133072346385
##없 ##는,4.6589517011563455
##해 ##보이 ##는,4.658663610983739
##하 ##겠 ##다며,4.6582414163721815
##능력 ##을,4.657134231831318
##덱 ##의,4.653774393528842
##되 ##었 ##기 ##에,4.652003068220741
##카드 ##를,4.65004709084119
##할 ##수 ##도,4.64802370214251
##시키 ##면서,4.645028725575961
##효과 ##를,4.6431126097445174
##할 ##만 ##한,4.642652719292696
##이 ##어도,4.640022477657369
##하 ##는 ##것 ##도,4.639618591654112
##이 ##라는 ##게,4.637224081739193
##했 ##을 ##때,4.636391819057701
##번 ##을,4.634477994041436
##하 ##기 ##엔,4.631787606437659
##자 ##가,4.630301255260272
##에서 ##처럼,4.629878293548915
##들 ##에게서,4.629465093174769
##치고 ##는,4.629005211933074
##사 ##의,4.627847052263968
##들 ##조차,4.627771128331561
##했 ##거나,4.626903933163864
##형 ##과,4.625270265087742
##급 ##이,4.623771217291361
##됐 ##을,4.620651657199458
##시간 ##을,4.6177905720857195
##이 ##라기 ##보다 ##는,4.617565851328158
##등 ##에,4.6167827901326985
##한 ##듯,4.61615382832944
##팀 ##은,4.615604233406614
##시키 ##려고,4.610260069484643
##됐 ##던,4.609762847260597
##전 ##의,4.606543530923863
##역 ##을,4.604820241434735
##효과 ##가,4.6039321457492735
##하 ##는지,4.603723168706132
##수 ##는,4.603103980195555
##이 ##라기,4.6024283588500605
##로 ##와,4.598302485307773
##팀 ##의,4.595555305381626
##됨 ##에,4.595452426663285
##으로 ##도,4.593393657155363
##되 ##도록,4.591963895177975
##만 ##의,4.590562974789157
##지역 ##에서,4.5901579536882355
##적 ##으로 ##도,4.586208213970211
##이 ##랍시고,4.582641575381262
##계 ##를,4.581843734251368
##였 ##기 ##에,4.581503320470395
##들 ##마저,4.581429852525407
##문제 ##가,4.580384105561281
##당하 ##면서,4.578761704982602
##시키 ##려는,4.577717029333164
##로서 ##도,4.577653328433596
##일지 ##도,4.577305402706259
##하 ##든,4.5771386023110745
##되 ##기 ##에,4.573190455043486
##능력 ##이,4.572671009333009
##시켰 ##고,4.568052696808102
##했 ##는데 ##도,4.5676990765364565
##하 ##는가,4.5663317477978165
##판 ##이,4.566016417971781
##이 ##었 ##다,4.563771021242725
##에서 ##까지,4.563396003994619
##계 ##에서,4.563259643024932
##팀 ##으로,4.561820397223754
##하 ##기 ##보다 ##는,4.560978881275371
##왕 ##의,4.560720099283993
##시키 ##는 ##데,4.559895094244631
##들 ##이 ##라는,4.557951557769637
##문제 ##로,4.557022097240348
##과정 ##에서,4.555821732457973
##하 ##기 ##위해,4.5548503689254805
##당하 ##며,4.554734161557191
##계 ##와,4.553178885979614
